customer_id,customer_name,email,registration_date,customer_type,email_valid
C0001,Aryan Maharaj,udantdewan@example.net,2026-04-23,VIP,True
C0002,Gagan Sami,balangirik@example.org,2025-03-13,REGULAR,True
C0003,Yashasvi Bala,onikannan@example.com,2023-05-24,REGULAR,True
C0004,Abeer Dutta,roak@example.org,2026-04-09,REGULAR,True
C0005,Gayathri Chaudry,raigunbir@example.com,2025-02-22,VIP,True
C0006,Aishani Bassi,hyadav@example.com,2023-04-21,REGULAR,True
C0007,Chaaya Pathak,ekarajbath@example.net,2023-05-24,PREMIUM,True
C0008,Bimala Buch,harrisonrai@example.com,2024-11-21,REGULAR,True
C0009,Janya Gaba,isha34@example.net,2025-07-22,VIP,True
C0010,Onveer Walla,nihalshere@example.com,2024-11-21,REGULAR,True
C0011,Theodore Nair,karnikazad@example.com,2024-07-24,REGULAR,True
C0012,Amrita Bhatti,divyakala@example.net,2025-11-27,PREMIUM,True
C0013,Meghana Shanker,alkadewan@example.org,2024-12-19,REGULAR,True
C0014,Priya Rastogi,theodore28@example.com,2023-06-11,REGULAR,True
C0015,Champak Choudhary,nathanielsami@example.net,2024-04-29,REGULAR,True
C0016,Lekha Raj,qwadhwa@example.net,2024-06-03,VIP,True
C0017,Ishwar Yadav,harini14@example.com,2026-01-22,REGULAR,True
C0018,Sudiksha Aggarwal,xiti28@example.org,2024-10-29,REGULAR,True
C0019,Yashica Issac,kashviedwin@example.net,2025-11-19,PREMIUM,True
C0020,Ekiya Suresh,choudhuryjanani@example.com,2024-05-27,REGULAR,True
C0021,Dalbir Khosla,chadavedika@example.org,2025-04-10,VIP,True
C0022,Kabir Soman,alkawable@example.net,2026-01-18,VIP,True
C0023,Siddharth Zacharia,devikarastogi@example.net,2023-06-16,VIP,True
C0024,Raksha Varughese,pdara@example.org,2023-11-10,PREMIUM,True
C0025,Hamsini Bail,thomasamble@example.org,2023-04-30,REGULAR,True
C0026,Veer Bir,narayananekavir@example.net,2026-02-19,REGULAR,True
C0027,Arya Sunder,kevinsolanki@example.org,2024-09-05,PREMIUM,True
C0028,Niharika Gupta,chatterjeeraagini@example.com,2025-04-07,VIP,True
C0029,Nirja Sibal,chaudharidarsh@example.com,2024-09-07,REGULAR,True
C0030,Ikbal Kothari,ranveeryadav@example.com,2024-03-25,VIP,True
C0031,Pahal Goswami,turvi31@example.com,2024-12-18,REGULAR,True
C0032,Chandresh Zachariah,chanderwarjas@example.org,2023-04-21,VIP,True
C0033,Vedika Srivastava,nandinibhargava@example.org,2024-01-18,VIP,True
C0034,Aarnav Ramakrishnan,suhani46@example.net,2025-03-21,REGULAR,True
C0035,Mohammed Gupta,teerth09@example.net,2025-12-09,REGULAR,True
C0036,Dipta Bhandari,soodyadavi@example.net,2025-08-04,VIP,True
C0037,Dakshesh Trivedi,grewalekapad@example.net,2024-01-31,VIP,True
C0038,Wahab Raval,koshybalveer@example.net,2024-04-23,VIP,True
C0039,Oni Virk,advika35@example.org,2023-06-26,PREMIUM,True
C0040,Meghana Deep,tanvi51@example.org,2026-05-21,VIP,True
C0041,Harish Borah,yashawinilanka@example.org,2023-06-10,PREMIUM,True
C0042,Ekapad Konda,bhavani27@example.net,2024-07-17,REGULAR,True
C0043,Abhiram Mistry,desaiaishani@example.org,2025-07-25,PREMIUM,True
C0044,Nachiket Magar,shivansh53@example.net,2024-12-21,VIP,True
C0045,Yashasvi Suresh,charan16@example.com,2023-08-09,REGULAR,True
C0046,Aarush Nath,adwetaedwin@example.net,2024-10-10,VIP,True
C0047,Prisha Andra,borramanthan@example.net,2025-05-02,REGULAR,True
C0048,Kala Divan,cdatta@example.com,2025-07-18,VIP,True
C0049,Balveer Parmar,zaidchauhan@example.com,2023-06-23,REGULAR,True
C0050,Mohammed Khalsa,petersachar@example.org,2023-09-17,REGULAR,True
C0051,Gaurangi Sabharwal,amaradutta@example.net,2024-05-31,PREMIUM,True
C0052,Lavanya Barad,mkapadia@example.com,2025-02-05,VIP,True
C0053,Dalaja Kari,arjunhans@example.com,2025-12-20,VIP,True
C0054,Arya Boase,indali86@example.net,2026-01-23,VIP,True
C0055,Ayaan D’Alia,pranav94@example.org,2025-09-24,VIP,True
C0056,Radha Pai,rajata98@example.org,2023-05-15,REGULAR,True
C0057,Ranveer Kumar,sarinaarav@example.net,2024-01-29,REGULAR,True
C0058,Januja Sankar,narayanandipta@example.net,2025-04-28,VIP,True
C0059,Charita Tripathi,nilima56@example.net,2024-05-10,PREMIUM,True
C0060,Joshua Handa,rraghavan@example.net,2023-12-02,REGULAR,True
C0061,Charvi Ravi,modibhavini@example.org,2026-02-02,PREMIUM,True
C0062,Ekanta Shroff,rsathe@example.org,2023-05-06,REGULAR,True
C0063,Omkaar Chad,yutika95@example.org,2026-05-30,REGULAR,True
C0064,Dayita Kar,mananbakshi@example.org,2026-02-13,REGULAR,True
C0065,Vaishnavi Bora,osachdeva@example.net,2026-04-10,PREMIUM,True
C0066,Leena Talwar,jkohli@example.net,2025-02-11,PREMIUM,True
C0067,Hredhaan Sandal,patrickvasa@example.com,2025-04-01,VIP,True
C0068,Zaid Dara,zdeol@example.com,2023-04-01,VIP,True
C0069,Saanvi Thaman,ksehgal@example.net,2023-10-19,PREMIUM,True
C0070,Shivani Lad,aradhanaverma@example.com,2025-11-27,VIP,True
C0071,Anvi Sarraf,mangalwahab@example.com,2024-01-28,PREMIUM,True
C0072,Ekaja Zachariah,devimatthew@example.org,2026-02-23,VIP,True
C0073,Michael Kala,sachdevanikita@example.com,2025-11-24,REGULAR,True
C0074,Ojasvi Bhatia,osharamachandran@example.net,2024-07-19,REGULAR,True
C0075,Lajita Sood,pandeychanchal@example.com,2025-05-20,VIP,True
C0076,Thomas Sura,anjalisarin@example.com,2024-01-31,REGULAR,True
C0077,Lopa Nayar,dgandhi@example.org,2025-01-18,REGULAR,True
C0078,Meera Bala,sanghakrishna@example.com,2023-05-13,REGULAR,True
C0079,Chandresh Lad,nnarang@example.com,2023-06-02,REGULAR,True
C0080,Geetika Raghavan,oviya41@example.com,2025-02-14,REGULAR,True
C0081,Charles Palla,ekapadbaria@example.org,2023-10-02,REGULAR,True
C0082,Ryan Bahri,williamdate@example.com,2026-02-13,REGULAR,True
C0083,Tejas Shroff,jyoti29@example.net,2024-04-05,PREMIUM,True
C0084,Nihal Mukhopadhyay,baldevika@example.net,2023-11-25,PREMIUM,True
C0085,Mekhala Issac,kibeharsh@example.net,2023-05-02,VIP,True
C0086,Jai Barman,priya51@example.net,2025-07-31,REGULAR,True
C0087,Advik Salvi,bcherian@example.com,2026-02-14,VIP,True
C0088,Michael Saran,anamikayohannan@example.com,2026-02-09,VIP,True
C0089,Rajata Loyal,yatan14@example.com,2026-03-03,VIP,True
C0090,Ucchal Raghavan,ayush75@example.org,2023-06-22,REGULAR,True
C0091,Simon Pant,harini49@example.net,2023-08-08,REGULAR,True
C0092,Advaith Varughese,frederickkhurana@example.net,2026-01-24,VIP,True
C0093,Vrinda Khosla,cswaminathan@example.org,2025-02-17,PREMIUM,True
C0094,Chaitaly Kant,tkohli@example.net,2023-04-04,REGULAR,True
C0095,Urvashi Wali,pavani85@example.com,2026-03-24,VIP,True
C0096,Anika Mohan,vihaan13@example.com,2023-04-13,VIP,True
C0097,Qasim Handa,vedamalhotra@example.net,2024-12-26,REGULAR,True
C0098,Harish Hari,utkarsh52@example.com,2024-09-08,REGULAR,True
C0099,Jonathan Mahal,bhagatbrinda@example.net,2025-09-18,VIP,True
C0100,Vritti Chauhan,maneupasna@example.com,2023-11-20,PREMIUM,True
C0101,Harini Gour,krishnanvanya@example.org,2026-01-16,REGULAR,True
C0102,Nandini Swamy,beramax@example.org,2023-04-17,REGULAR,True
C0103,Frederick Kothari,sahaupkaar@example.net,2025-04-03,VIP,True
C0104,Shravya Savant,pushti49@example.net,2024-06-29,REGULAR,True
C0105,Hardik Johal,aishanibumb@example.org,2024-05-18,PREMIUM,True
C0106,Oscar Borde,aarnavrege@example.com,2023-05-28,VIP,True
C0107,Bishakha Bali,bhavyamandal@example.net,2023-06-26,REGULAR,True
C0108,Ekavir Kaur,rudra61@example.net,2023-05-05,PREMIUM,True
C0109,Manthan Lata,ekbalbhasin@example.org,2025-11-13,REGULAR,True
C0110,Bhavya Sarna,sidhudaksha@example.net,2025-11-06,VIP,True
C0111,Anita Tella,fsarma@example.net,2024-12-03,PREMIUM,True
C0112,Rachana Naidu,atharv13@example.net,2024-07-11,REGULAR,True
C0113,Amruta Baria,upmavenkataraman@example.net,2024-12-20,VIP,True
C0114,Arunima Golla,fswamy@example.com,2026-03-01,REGULAR,True
C0115,Nilima Nath,henry25@example.com,2024-11-24,REGULAR,True
C0116,Bhavya Rattan,shagaurangexample.com,2024-12-24,REGULAR,False
C0117,Ekiya D’Alia,avarkey@example.net,2023-05-11,VIP,True
C0118,Odika Bhagat,zarnapathak@example.net,2026-05-25,REGULAR,True
C0119,Riya Behl,amaradeep@example.com,2025-08-12,VIP,True
C0120,Vedhika Dara,khatrinathan@example.com,2024-05-18,VIP,True
C0121,Nikita Chander,ishaanshenoy@example.org,2024-01-15,REGULAR,True
C0122,Wishi Manne,ojasvi77@example.org,2024-05-28,REGULAR,True
C0123,Maanav Rajagopal,yashodadeshpande@example.org,2025-04-09,VIP,True
C0124,Oeshi Oak,aarnav44@example.net,2025-11-15,PREMIUM,True
C0125,Manthan Sekhon,vpai@example.net,2024-03-03,VIP,True
C0126,Tamanna Nagy,williamrajagopal@example.org,2025-02-14,REGULAR,True
C0127,Caleb Nadkarni,yraj@example.net,2025-06-16,PREMIUM,True
C0128,Warhi Bansal,yadavinarula@example.org,2024-08-02,PREMIUM,True
C0129,Harish Vora,uaurora@example.org,2025-01-21,PREMIUM,True
C0130,Mohammed Borde,vlanka@example.net,2025-11-04,PREMIUM,True
C0131,Faris Narasimhan,onadig@example.net,2023-10-24,REGULAR,True
C0132,Balendra Biswas,bhavnakaran@example.net,2023-11-14,PREMIUM,True
C0133,Radha Chaudhari,sawhneyojas@example.net,2025-03-04,REGULAR,True
C0134,Ayush Batra,daksh45@example.com,2025-05-14,PREMIUM,True
C0135,Madhav Konda,kgole@example.org,2026-01-22,PREMIUM,True
C0136,Lavanya Khosla,odhar@example.com,2023-08-05,PREMIUM,True
C0137,Tripti Kumer,shroffbhavna@example.net,2023-06-11,PREMIUM,True
C0138,Ethan Sathe,chandani64@example.com,2025-10-20,PREMIUM,True
