customer_id,customer_name,customer_type,total_orders
C0249,Shivansh Saha,REGULAR,5
C0058,Januja Sankar,VIP,4
C0146,Upadhriti Borra,PREMIUM,4
C0012,Amrita Bhatti,PREMIUM,3
C0093,Vrinda Khosla,PREMIUM,3
C0137,Tripti Kumer,PREMIUM,3
C0204,Chakrika Chaudhuri,VIP,3
C0224,Tanvi Bansal,VIP,3
C0309,Omaja Rege,PREMIUM,3
C0349,Eiravati Manne,VIP,3
C0351,Triya Kadakia,VIP,3
C0371,Ojas Suri,REGULAR,3
C0393,Hemal Dara,PREMIUM,3
C0405,Pallavi Ratti,REGULAR,3
C0437,Rachita Rana,VIP,3
C0481,Anmol Nazareth,VIP,3
C0497,Dakshesh Raval,VIP,3
C0025,Hamsini Bail,REGULAR,2
C0026,Veer Bir,REGULAR,2
C0033,Vedika Srivastava,VIP,2
C0035,Mohammed Gupta,REGULAR,2
C0036,Dipta Bhandari,VIP,2
C0050,Mohammed Khalsa,REGULAR,2
C0061,Charvi Ravi,PREMIUM,2
C0069,Saanvi Thaman,PREMIUM,2
C0070,Shivani Lad,VIP,2
C0080,Geetika Raghavan,REGULAR,2
C0087,Advik Salvi,VIP,2
C0103,Frederick Kothari,VIP,2
C0104,Shravya Savant,REGULAR,2
C0135,Madhav Konda,PREMIUM,2
C0142,Zashil Devan,REGULAR,2
C0145,Nitesh Kurian,VIP,2
C0154,Jhalak Parmer,VIP,2
C0156,Jeremiah Jha,PREMIUM,2
C0205,Mitesh Gaba,REGULAR,2
C0206,Janya Khanna,VIP,2
C0225,Dayita Varma,VIP,2
C0235,Laksh Wagle,VIP,2
C0271,Dipta Ghose,VIP,2
C0273,Umang Mishra,VIP,2
C0286,Prisha Varma,PREMIUM,2
C0289,Jagvi Keer,PREMIUM,2
C0297,Aachal Aggarwal,PREMIUM,2
C0300,Keya Buch,PREMIUM,2
C0307,Odika Mital,VIP,2
C0310,Wridesh Kar,REGULAR,2
C0317,Advika Parsa,PREMIUM,2
C0337,Rachana Grewal,REGULAR,2
C0342,Girik Nair,REGULAR,2
C0357,Sanaya Prasad,PREMIUM,2
C0361,Charita Basu,VIP,2
C0362,Nitesh Kohli,VIP,2
C0384,Neha Varma,PREMIUM,2
C0385,Girik Shanker,REGULAR,2
C0386,Siddharth Talwar,REGULAR,2
C0408,Radha D’Alia,REGULAR,2
C0409,Jagdish Arora,REGULAR,2
C0419,Gabriel Shan,REGULAR,2
C0420,Xavier Shetty,VIP,2
C0425,Girish Tiwari,PREMIUM,2
C0433,Zaid Chandra,VIP,2
C0440,Darsh Chahal,REGULAR,2
C0444,Nathaniel Chaudhry,PREMIUM,2
C0452,Edhitha Ghosh,VIP,2
C0453,Chaitaly Datta,VIP,2
C0456,Sanya Apte,PREMIUM,2
C0460,Chaitaly Bahri,REGULAR,2
C0494,Unnati Mittal,VIP,2
C0004,Abeer Dutta,REGULAR,1
C0005,Gayathri Chaudry,VIP,1
C0007,Chaaya Pathak,PREMIUM,1
C0010,Onveer Walla,REGULAR,1
C0011,Theodore Nair,REGULAR,1
C0014,Priya Rastogi,REGULAR,1
C0015,Champak Choudhary,REGULAR,1
C0019,Yashica Issac,PREMIUM,1
C0021,Dalbir Khosla,VIP,1
C0028,Niharika Gupta,VIP,1
C0030,Ikbal Kothari,VIP,1
C0032,Chandresh Zachariah,VIP,1
C0034,Aarnav Ramakrishnan,REGULAR,1
C0041,Harish Borah,PREMIUM,1
C0047,Prisha Andra,REGULAR,1
C0051,Gaurangi Sabharwal,PREMIUM,1
C0066,Leena Talwar,PREMIUM,1
C0067,Hredhaan Sandal,VIP,1
C0068,Zaid Dara,VIP,1
C0072,Ekaja Zachariah,VIP,1
C0078,Meera Bala,REGULAR,1
C0081,Charles Palla,REGULAR,1
C0082,Ryan Bahri,REGULAR,1
C0084,Nihal Mukhopadhyay,PREMIUM,1
C0090,Ucchal Raghavan,REGULAR,1
C0096,Anika Mohan,VIP,1
C0099,Jonathan Mahal,VIP,1
C0101,Harini Gour,REGULAR,1
C0102,Nandini Swamy,REGULAR,1
C0111,Anita Tella,PREMIUM,1
C0113,Amruta Baria,VIP,1
C0114,Arunima Golla,REGULAR,1
C0118,Odika Bhagat,REGULAR,1
C0123,Maanav Rajagopal,VIP,1
C0127,Caleb Nadkarni,PREMIUM,1
C0129,Harish Vora,PREMIUM,1
C0134,Ayush Batra,PREMIUM,1
C0139,Rushil Rajagopalan,REGULAR,1
C0143,Janya Deep,PREMIUM,1
C0144,Parth Iyer,REGULAR,1
C0148,Adweta Raj,VIP,1
C0149,Timothy Bhatnagar,PREMIUM,1
C0150,Logan Bath,PREMIUM,1
C0152,Mohammed Sachdeva,VIP,1
C0158,Imaran Bal,VIP,1
C0159,Amol Ghosh,VIP,1
C0160,Devansh Soni,REGULAR,1
C0168,Kavya Dua,REGULAR,1
C0171,Indira Chawla,VIP,1
C0174,Abeer Golla,PREMIUM,1
C0177,Nachiket Dugar,VIP,1
C0178,Vedika Sathe,PREMIUM,1
C0183,Xiti Pandya,VIP,1
C0184,Tripti Brahmbhatt,PREMIUM,1
C0185,Bimala Contractor,PREMIUM,1
C0189,Warinder Chauhan,PREMIUM,1
C0190,Faqid Goel,VIP,1
C0193,Triya Seth,VIP,1
C0194,Gautam Tripathi,REGULAR,1
C0195,Shivani Guha,REGULAR,1
C0197,Raksha Sarna,REGULAR,1
C0203,Harita Sunder,PREMIUM,1
C0207,Vivaan Walla,PREMIUM,1
C0211,Rajeshri Chand,VIP,1
C0217,Oni Shankar,VIP,1
C0227,Rajeshri Ratta,PREMIUM,1
C0231,Sanya Basak,REGULAR,1
C0234,Bachittar Dube,REGULAR,1
C0238,Ryan Das,PREMIUM,1
C0239,Gagan Nagarajan,VIP,1
C0241,Warjas Tak,VIP,1
C0247,Jeremiah Mitter,VIP,1
C0253,Eiravati Khurana,REGULAR,1
C0261,Jagat Dave,VIP,1
C0265,Yashica Upadhyay,VIP,1
C0268,Manbir Kibe,REGULAR,1
C0269,Dipta Sahota,REGULAR,1
C0275,Bina Basak,VIP,1
C0278,Charles Chaudhry,PREMIUM,1
C0281,Parth Sahni,PREMIUM,1
C0284,Reyansh Chowdhury,VIP,1
C0285,Akshay Nazareth,REGULAR,1
C0288,Sanya Loke,PREMIUM,1
C0290,Nidra Thakkar,PREMIUM,1
C0294,Nitesh Narang,PREMIUM,1
C0295,Gavin Uppal,VIP,1
C0302,Ladli Karpe,VIP,1
C0305,Neelima Sarna,PREMIUM,1
C0306,Vivaan Nagar,PREMIUM,1
C0308,Prisha Tandon,PREMIUM,1
C0311,Omaja Wagle,VIP,1
C0320,Victor Raghavan,VIP,1
C0322,Qarin Bhargava,VIP,1
C0326,Praneel Chhabra,REGULAR,1
C0327,Zayyan Pandya,REGULAR,1
C0330,Radha Narula,PREMIUM,1
C0331,Vaishnavi Madan,PREMIUM,1
C0333,Faraj Mistry,VIP,1
C0338,Yatin Borah,REGULAR,1
C0339,Lopa Nadig,PREMIUM,1
C0340,Jagvi Madan,REGULAR,1
C0345,Anya Sama,VIP,1
C0348,Laban Mital,VIP,1
C0358,Hemani Bakshi,VIP,1
C0359,Jack Dhar,REGULAR,1
C0360,Ijaya Soni,REGULAR,1
C0365,Tanish Jha,REGULAR,1
C0367,Dhriti Rama,REGULAR,1
C0370,Omya Devi,PREMIUM,1
C0375,Om Shankar,REGULAR,1
C0376,Amrita Peri,PREMIUM,1
C0379,Noah Dewan,REGULAR,1
C0381,Yoshita Chandran,VIP,1
C0382,Kevin Krish,VIP,1
C0394,Leela Chakraborty,VIP,1
C0396,Nitesh Sarraf,REGULAR,1
C0398,Indali Sanghvi,REGULAR,1
C0402,Kevin Ram,PREMIUM,1
C0403,Urishilla Bora,PREMIUM,1
C0406,Dayita Brar,REGULAR,1
C0416,Udarsh Nagy,PREMIUM,1
C0417,Kashish Dar,VIP,1
C0418,Nandini Biswas,REGULAR,1
C0424,Vincent Venkatesh,VIP,1
C0430,Darika Sheth,REGULAR,1
C0434,Advik Bhatia,PREMIUM,1
C0435,Frado Lad,VIP,1
C0439,Manthan Banerjee,PREMIUM,1
C0445,Theodore Rama,REGULAR,1
C0446,Jagrati Bala,REGULAR,1
C0457,Hritik Agarwal,VIP,1
C0459,Harrison Srinivas,REGULAR,1
C0462,Azaan Sankar,VIP,1
C0463,Garima Jha,PREMIUM,1
C0464,Chameli Khanna,VIP,1
C0465,Mitesh Bhagat,REGULAR,1
C0466,Ryan Chatterjee,PREMIUM,1
C0467,Finn Solanki,VIP,1
C0469,Rachit Sehgal,REGULAR,1
C0470,Upkaar Luthra,REGULAR,1
C0471,Odika Karan,VIP,1
C0473,Jai Sen,PREMIUM,1
C0476,Eshana Majumdar,REGULAR,1
C0482,Vedant Desai,PREMIUM,1
C0485,Yashawini Raval,VIP,1
C0486,Dalbir Krish,REGULAR,1
C0493,Anvi Sampath,PREMIUM,1
C0495,Barkha Misra,VIP,1
C0499,Hemal Kapadia,PREMIUM,1
C0500,Pratyush Memon,PREMIUM,1
