customer_id,customer_name,customer_type,total_value,quartile,quartile_label
C0053,Dalaja Kari,VIP,670007.8,1,Platinum
C0346,Warhi Hayre,VIP,596808.96,1,Platinum
C0037,Dakshesh Trivedi,VIP,596719.93,1,Platinum
C0420,Xavier Shetty,VIP,576838.55,1,Platinum
C0033,Vedika Srivastava,VIP,498969.3,1,Platinum
C0249,Shivansh Saha,REGULAR,488748.37,1,Platinum
C0351,Triya Kadakia,VIP,482660.52,1,Platinum
C0149,Timothy Bhatnagar,PREMIUM,472108.16,1,Platinum
C0108,Ekavir Kaur,PREMIUM,463596.92,1,Platinum
C0309,Omaja Rege,PREMIUM,440564.15,1,Platinum
C0230,Damini Sehgal,PREMIUM,438798.54,1,Platinum
C0196,Harshil Oza,VIP,433646.34,1,Platinum
C0393,Hemal Dara,PREMIUM,432545.46,1,Platinum
C0332,Praneel Murty,VIP,408309.19,1,Platinum
C0195,Shivani Guha,REGULAR,406783.23,1,Platinum
C0055,Ayaan D’Alia,VIP,401957.3,1,Platinum
C0457,Hritik Agarwal,VIP,388652.14,1,Platinum
C0093,Vrinda Khosla,PREMIUM,388588.68,1,Platinum
C0416,Udarsh Nagy,PREMIUM,384744.28,1,Platinum
C0058,Januja Sankar,VIP,367233.36,1,Platinum
C0277,Wriddhish Kibe,PREMIUM,348448.61,1,Platinum
C0233,Bakhshi Date,VIP,343530.22,1,Platinum
C0171,Indira Chawla,VIP,339766.27,1,Platinum
C0040,Meghana Deep,VIP,338539.19,1,Platinum
C0137,Tripti Kumer,PREMIUM,338239.23,1,Platinum
C0460,Chaitaly Bahri,REGULAR,335274.93,1,Platinum
C0384,Neha Varma,PREMIUM,330992.74,1,Platinum
C0408,Radha D’Alia,REGULAR,324981.65,1,Platinum
C0378,Reva Dalal,REGULAR,321146.06,1,Platinum
C0402,Kevin Ram,PREMIUM,320632.12,1,Platinum
C0201,Dayita Puri,PREMIUM,313457.67,1,Platinum
C0224,Tanvi Bansal,VIP,308967.75,1,Platinum
C0492,Urvi Deo,PREMIUM,308864.53,1,Platinum
C0287,Vansha Naik,VIP,298104.56,1,Platinum
C0012,Amrita Bhatti,PREMIUM,296951.77,1,Platinum
C0495,Barkha Misra,VIP,292497.55,1,Platinum
C0206,Janya Khanna,VIP,283494.56,1,Platinum
C0333,Faraj Mistry,VIP,282547.42,1,Platinum
C0271,Dipta Ghose,VIP,271247.39,1,Platinum
C0473,Jai Sen,PREMIUM,269971.26,1,Platinum
C0433,Zaid Chandra,VIP,268820.25,1,Platinum
C0025,Hamsini Bail,REGULAR,266254.0,1,Platinum
C0008,Bimala Buch,REGULAR,263145.82,1,Platinum
C0211,Rajeshri Chand,VIP,262605.45,1,Platinum
C0444,Nathaniel Chaudhry,PREMIUM,258935.96,1,Platinum
C0028,Niharika Gupta,VIP,257604.37,1,Platinum
C0146,Upadhriti Borra,PREMIUM,257048.16,1,Platinum
C0419,Gabriel Shan,REGULAR,254144.69,1,Platinum
C0127,Caleb Nadkarni,PREMIUM,251056.55,1,Platinum
C0482,Vedant Desai,PREMIUM,248614.12,1,Platinum
C0202,Yashoda Pathak,REGULAR,247427.8,1,Platinum
C0110,Bhavya Sarna,VIP,246296.16,1,Platinum
C0121,Nikita Chander,REGULAR,243930.75,1,Platinum
C0106,Oscar Borde,VIP,243805.32,1,Platinum
C0160,Devansh Soni,REGULAR,243155.3,1,Platinum
C0349,Eiravati Manne,VIP,241957.5,1,Platinum
C0070,Shivani Lad,VIP,239695.85,1,Platinum
C0114,Arunima Golla,REGULAR,236821.19,1,Platinum
C0314,Varenya Joshi,PREMIUM,235642.24,2,Gold
C0359,Jack Dhar,REGULAR,233426.74,2,Gold
C0030,Ikbal Kothari,VIP,225483.48,2,Gold
C0344,Charvi Loyal,REGULAR,220021.51,2,Gold
C0371,Ojas Suri,REGULAR,218796.8,2,Gold
C0447,Parth Swaminathan,REGULAR,218005.7,2,Gold
C0023,Siddharth Zacharia,VIP,214349.05,2,Gold
C0411,Jacob Balan,VIP,210110.19,2,Gold
C0014,Priya Rastogi,REGULAR,209375.06,2,Gold
C0499,Hemal Kapadia,PREMIUM,206630.68,2,Gold
C0235,Laksh Wagle,VIP,206395.04,2,Gold
C0456,Sanya Apte,PREMIUM,204595.69,2,Gold
C0284,Reyansh Chowdhury,VIP,199763.58,2,Gold
C0348,Laban Mital,VIP,199129.88,2,Gold
C0192,Chavvi Maharaj,REGULAR,198527.62,2,Gold
C0001,Aryan Maharaj,VIP,197138.98,2,Gold
C0450,Lucky Choudhry,VIP,187051.99,2,Gold
C0452,Edhitha Ghosh,VIP,186477.77,2,Gold
C0437,Rachita Rana,VIP,183686.92,2,Gold
C0347,Meghana Natarajan,VIP,183443.21,2,Gold
C0212,Chatresh Randhawa,VIP,183149.23,2,Gold
C0425,Girish Tiwari,PREMIUM,178496.76,2,Gold
C0174,Abeer Golla,PREMIUM,178480.61,2,Gold
C0390,Zashil Butala,VIP,176730.94,2,Gold
C0263,Laksh Nath,PREMIUM,174527.5,2,Gold
C0486,Dalbir Krish,REGULAR,174198.08,2,Gold
C0448,Anmol Vyas,PREMIUM,172840.07,2,Gold
C0278,Charles Chaudhry,PREMIUM,172706.87,2,Gold
C0364,Meghana Balakrishnan,VIP,166545.58,2,Gold
C0077,Lopa Nayar,REGULAR,165612.82,2,Gold
C0295,Gavin Uppal,VIP,165275.43,2,Gold
C0270,David Devi,PREMIUM,163582.85,2,Gold
C0297,Aachal Aggarwal,PREMIUM,161348.82,2,Gold
C0375,Om Shankar,REGULAR,160975.12,2,Gold
C0120,Vedhika Dara,VIP,150102.72,2,Gold
C0326,Praneel Chhabra,REGULAR,148485.27,2,Gold
C0072,Ekaja Zachariah,VIP,147156.1,2,Gold
C0022,Kabir Soman,VIP,146959.53,2,Gold
C0118,Odika Bhagat,REGULAR,143626.22,2,Gold
C0086,Jai Barman,REGULAR,141502.49,2,Gold
C0178,Vedika Sathe,PREMIUM,139851.19,2,Gold
C0469,Rachit Sehgal,REGULAR,139067.68,2,Gold
C0382,Kevin Krish,VIP,138031.62,2,Gold
C0476,Eshana Majumdar,REGULAR,136021.84,2,Gold
C0358,Hemani Bakshi,VIP,134599.84,2,Gold
C0150,Logan Bath,PREMIUM,133821.57,2,Gold
C0092,Advaith Varughese,VIP,132923.39,2,Gold
C0290,Nidra Thakkar,PREMIUM,132876.56,2,Gold
C0017,Ishwar Yadav,REGULAR,132560.44,2,Gold
C0367,Dhriti Rama,REGULAR,132043.33,2,Gold
C0264,Falak Nagar,PREMIUM,130859.7,2,Gold
C0280,Bhavna Nagi,PREMIUM,125126.02,2,Gold
C0256,Wishi Morar,PREMIUM,122533.89,2,Gold
C0475,Aarna Nagarajan,VIP,121628.76,2,Gold
C0414,Vedant Upadhyay,PREMIUM,120075.61,2,Gold
C0015,Champak Choudhary,REGULAR,118379.54,2,Gold
C0245,Zarna Dua,VIP,118203.52,2,Gold
C0418,Nandini Biswas,REGULAR,117578.97,2,Gold
C0281,Parth Sahni,PREMIUM,113679.13,3,Silver
C0197,Raksha Sarna,REGULAR,112486.66,3,Silver
