customer_id,customer_name,first_category,recent_category,category_shift
C0001,Aryan Maharaj,Books,Clothing,Yes
C0004,Abeer Dutta,Electronics,Books,Yes
C0007,Chaaya Pathak,Home,Home,No
C0008,Bimala Buch,Electronics,Electronics,No
C0010,Onveer Walla,Home,Books,Yes
C0011,Theodore Nair,Books,Home,Yes
C0012,Amrita Bhatti,Books,Home,Yes
C0013,Meghana Shanker,Electronics,Electronics,No
C0014,Priya Rastogi,Clothing,Books,Yes
C0015,Champak Choudhary,Clothing,Home,Yes
C0017,Ishwar Yadav,Clothing,Home,Yes
C0019,Yashica Issac,Clothing,Clothing,No
C0022,Kabir Soman,Clothing,Electronics,Yes
C0023,Siddharth Zacharia,Clothing,Home,Yes
C0025,Hamsini Bail,Books,Clothing,Yes
C0028,Niharika Gupta,Clothing,Books,Yes
C0030,Ikbal Kothari,Books,Electronics,Yes
C0033,Vedika Srivastava,Electronics,Electronics,No
C0035,Mohammed Gupta,Books,Clothing,Yes
C0036,Dipta Bhandari,Home,Electronics,Yes
C0037,Dakshesh Trivedi,Home,Clothing,Yes
C0040,Meghana Deep,Clothing,Home,Yes
C0042,Ekapad Konda,Books,Books,No
C0047,Prisha Andra,Electronics,Home,Yes
C0053,Dalaja Kari,Home,Electronics,Yes
C0055,Ayaan D’Alia,Clothing,Electronics,Yes
C0057,Ranveer Kumar,Books,Books,No
C0058,Januja Sankar,Home,Electronics,Yes
C0060,Joshua Handa,Electronics,Home,Yes
C0066,Leena Talwar,Electronics,Home,Yes
C0068,Zaid Dara,Books,Books,No
C0069,Saanvi Thaman,Home,Clothing,Yes
C0070,Shivani Lad,Home,Clothing,Yes
C0072,Ekaja Zachariah,Home,Electronics,Yes
C0077,Lopa Nayar,Books,Clothing,Yes
C0082,Ryan Bahri,Electronics,Electronics,No
C0084,Nihal Mukhopadhyay,Books,Books,No
C0086,Jai Barman,Clothing,Clothing,No
C0087,Advik Salvi,Home,Clothing,Yes
C0090,Ucchal Raghavan,Electronics,Clothing,Yes
C0092,Advaith Varughese,Home,Clothing,Yes
C0093,Vrinda Khosla,Electronics,Electronics,No
C0101,Harini Gour,Clothing,Clothing,No
C0103,Frederick Kothari,Clothing,Electronics,Yes
C0104,Shravya Savant,Books,Clothing,Yes
C0106,Oscar Borde,Clothing,Electronics,Yes
C0108,Ekavir Kaur,Electronics,Clothing,Yes
C0110,Bhavya Sarna,Clothing,Books,Yes
C0111,Anita Tella,Electronics,Electronics,No
C0112,Rachana Naidu,Home,Home,No
C0113,Amruta Baria,Electronics,Books,Yes
C0114,Arunima Golla,Home,Clothing,Yes
C0118,Odika Bhagat,Home,Clothing,Yes
C0119,Riya Behl,Books,Clothing,Yes
C0120,Vedhika Dara,Electronics,Electronics,No
C0121,Nikita Chander,Clothing,Clothing,No
C0123,Maanav Rajagopal,Clothing,Clothing,No
C0127,Caleb Nadkarni,Clothing,Clothing,No
C0129,Harish Vora,Electronics,Books,Yes
C0131,Faris Narasimhan,Electronics,Clothing,Yes
C0134,Ayush Batra,Clothing,Clothing,No
C0135,Madhav Konda,Clothing,Clothing,No
C0137,Tripti Kumer,Home,Home,No
C0142,Zashil Devan,Clothing,Electronics,Yes
C0143,Janya Deep,Clothing,Clothing,No
C0144,Parth Iyer,Clothing,Clothing,No
C0145,Nitesh Kurian,Electronics,Books,Yes
C0146,Upadhriti Borra,Home,Home,No
C0149,Timothy Bhatnagar,Home,Clothing,Yes
C0150,Logan Bath,Electronics,Electronics,No
C0151,Wahab Yogi,Electronics,Electronics,No
C0152,Mohammed Sachdeva,Electronics,Electronics,No
C0154,Jhalak Parmer,Home,Books,Yes
C0156,Jeremiah Jha,Clothing,Electronics,Yes
C0160,Devansh Soni,Home,Home,No
C0163,Vritti Sawhney,Books,Books,No
C0166,Tanveer Sani,Home,Home,No
C0170,Jason Roy,Books,Books,No
C0171,Indira Chawla,Books,Electronics,Yes
C0172,Inaya Pillai,Electronics,Books,Yes
C0174,Abeer Golla,Electronics,Books,Yes
C0177,Nachiket Dugar,Home,Home,No
C0178,Vedika Sathe,Clothing,Clothing,No
C0179,Hemani Sani,Electronics,Home,Yes
C0181,Siddharth Devan,Clothing,Books,Yes
C0183,Xiti Pandya,Electronics,Electronics,No
C0185,Bimala Contractor,Electronics,Electronics,No
C0187,Farhan Randhawa,Electronics,Home,Yes
C0188,Yashvi Comar,Clothing,Clothing,No
C0189,Warinder Chauhan,Home,Home,No
C0190,Faqid Goel,Home,Home,No
C0192,Chavvi Maharaj,Clothing,Clothing,No
C0194,Gautam Tripathi,Home,Clothing,Yes
C0195,Shivani Guha,Clothing,Home,Yes
C0196,Harshil Oza,Electronics,Books,Yes
C0197,Raksha Sarna,Books,Clothing,Yes
C0201,Dayita Puri,Books,Books,No
C0202,Yashoda Pathak,Electronics,Clothing,Yes
C0203,Harita Sunder,Clothing,Clothing,No
C0205,Mitesh Gaba,Books,Books,No
C0206,Janya Khanna,Books,Electronics,Yes
C0207,Vivaan Walla,Home,Clothing,Yes
C0211,Rajeshri Chand,Home,Books,Yes
C0212,Chatresh Randhawa,Books,Clothing,Yes
C0217,Oni Shankar,Clothing,Clothing,No
C0220,Yashica Tripathi,Books,Books,No
C0223,Parth Shetty,Electronics,Electronics,No
C0224,Tanvi Bansal,Electronics,Clothing,Yes
C0225,Dayita Varma,Clothing,Clothing,No
C0230,Damini Sehgal,Clothing,Electronics,Yes
C0233,Bakhshi Date,Clothing,Books,Yes
C0235,Laksh Wagle,Books,Home,Yes
C0239,Gagan Nagarajan,Clothing,Clothing,No
C0245,Zarna Dua,Clothing,Clothing,No
C0249,Shivansh Saha,Clothing,Home,Yes
C0256,Wishi Morar,Clothing,Clothing,No
C0261,Jagat Dave,Home,Home,No
C0263,Laksh Nath,Electronics,Home,Yes
C0264,Falak Nagar,Clothing,Clothing,No
C0267,Urvi Lanka,Electronics,Electronics,No
C0270,David Devi,Clothing,Books,Yes
C0271,Dipta Ghose,Clothing,Clothing,No
C0277,Wriddhish Kibe,Electronics,Clothing,Yes
C0278,Charles Chaudhry,Electronics,Clothing,Yes
C0280,Bhavna Nagi,Electronics,Clothing,Yes
C0281,Parth Sahni,Electronics,Electronics,No
C0284,Reyansh Chowdhury,Electronics,Home,Yes
C0285,Akshay Nazareth,Books,Clothing,Yes
C0286,Prisha Varma,Clothing,Books,Yes
C0287,Vansha Naik,Electronics,Books,Yes
C0288,Sanya Loke,Clothing,Clothing,No
C0289,Jagvi Keer,Electronics,Clothing,Yes
C0290,Nidra Thakkar,Clothing,Clothing,No
C0294,Nitesh Narang,Clothing,Electronics,Yes
C0295,Gavin Uppal,Clothing,Electronics,Yes
C0297,Aachal Aggarwal,Clothing,Books,Yes
C0305,Neelima Sarna,Books,Books,No
C0307,Odika Mital,Books,Home,Yes
C0308,Prisha Tandon,Electronics,Home,Yes
C0309,Omaja Rege,Clothing,Clothing,No
C0310,Wridesh Kar,Clothing,Clothing,No
C0311,Omaja Wagle,Clothing,Clothing,No
C0314,Varenya Joshi,Electronics,Electronics,No
C0317,Advika Parsa,Books,Books,No
C0318,Ekaja Jani,Home,Clothing,Yes
C0322,Qarin Bhargava,Clothing,Home,Yes
C0326,Praneel Chhabra,Clothing,Books,Yes
C0331,Vaishnavi Madan,Electronics,Electronics,No
C0332,Praneel Murty,Electronics,Clothing,Yes
C0333,Faraj Mistry,Electronics,Books,Yes
C0337,Rachana Grewal,Books,Home,Yes
C0338,Yatin Borah,Clothing,Clothing,No
C0342,Girik Nair,Books,Home,Yes
C0344,Charvi Loyal,Electronics,Clothing,Yes
C0346,Warhi Hayre,Electronics,Clothing,Yes
C0347,Meghana Natarajan,Electronics,Home,Yes
C0348,Laban Mital,Electronics,Home,Yes
C0349,Eiravati Manne,Clothing,Clothing,No
