customer_id,customer_name,revenue,cumulative_revenue,cumulative_percent
C0053,Dalaja Kari,670007.8,670007.8,1.89
C0346,Warhi Hayre,596808.96,1266816.76,3.58
C0037,Dakshesh Trivedi,596719.93,1863536.69,5.26
C0420,Xavier Shetty,576838.55,2440375.24,6.89
C0033,Vedika Srivastava,498969.3,2939344.54,8.3
C0249,Shivansh Saha,488748.37,3428092.91,9.68
C0351,Triya Kadakia,482660.52,3910753.43,11.04
C0149,Timothy Bhatnagar,472108.16,4382861.59,12.37
C0108,Ekavir Kaur,463596.92,4846458.51,13.68
C0309,Omaja Rege,440564.15,5287022.66,14.93
C0230,Damini Sehgal,438798.54,5725821.2,16.16
C0196,Harshil Oza,433646.34,6159467.54,17.39
C0393,Hemal Dara,432545.46,6592013.0,18.61
C0332,Praneel Murty,408309.19,7000322.19,19.76
C0195,Shivani Guha,406783.23,7407105.42,20.91
C0055,Ayaan D’Alia,401957.3,7809062.72,22.05
C0457,Hritik Agarwal,388652.14,8197714.86,23.14
C0093,Vrinda Khosla,388588.68,8586303.54,24.24
C0416,Udarsh Nagy,384744.28,8971047.82,25.33
C0058,Januja Sankar,367233.36,9338281.18,26.36
C0277,Wriddhish Kibe,348448.61,9686729.79,27.35
C0233,Bakhshi Date,343530.22,10030260.01,28.32
C0171,Indira Chawla,339766.27,10370026.28,29.27
C0040,Meghana Deep,338539.19,10708565.47,30.23
C0137,Tripti Kumer,338239.23,11046804.7,31.19
C0460,Chaitaly Bahri,335274.93,11382079.63,32.13
C0384,Neha Varma,330992.74,11713072.37,33.07
C0408,Radha D’Alia,324981.65,12038054.02,33.98
C0378,Reva Dalal,321146.06,12359200.08,34.89
C0402,Kevin Ram,320632.12,12679832.2,35.8
C0201,Dayita Puri,313457.67,12993289.87,36.68
C0224,Tanvi Bansal,308967.75,13302257.62,37.55
C0492,Urvi Deo,308864.53,13611122.15,38.42
C0287,Vansha Naik,298104.56,13909226.71,39.27
C0012,Amrita Bhatti,296951.77,14206178.48,40.1
C0495,Barkha Misra,292497.55,14498676.03,40.93
C0206,Janya Khanna,283494.56,14782170.59,41.73
C0333,Faraj Mistry,282547.42,15064718.01,42.53
C0271,Dipta Ghose,271247.39,15335965.4,43.29
C0473,Jai Sen,269971.26,15605936.66,44.06
C0433,Zaid Chandra,268820.25,15874756.91,44.81
C0025,Hamsini Bail,266254.0,16141010.91,45.57
C0008,Bimala Buch,263145.82,16404156.73,46.31
C0211,Rajeshri Chand,262605.45,16666762.18,47.05
C0444,Nathaniel Chaudhry,258935.96,16925698.14,47.78
C0028,Niharika Gupta,257604.37,17183302.51,48.51
C0146,Upadhriti Borra,257048.16,17440350.67,49.23
C0419,Gabriel Shan,254144.69,17694495.36,49.95
C0127,Caleb Nadkarni,251056.55,17945551.91,50.66
C0482,Vedant Desai,248614.12,18194166.03,51.36
C0202,Yashoda Pathak,247427.8,18441593.83,52.06
C0110,Bhavya Sarna,246296.16,18687889.99,52.76
C0121,Nikita Chander,243930.75,18931820.74,53.44
C0106,Oscar Borde,243805.32,19175626.06,54.13
C0160,Devansh Soni,243155.3,19418781.36,54.82
C0349,Eiravati Manne,241957.5,19660738.86,55.5
C0070,Shivani Lad,239695.85,19900434.71,56.18
C0114,Arunima Golla,236821.19,20137255.9,56.85
C0314,Varenya Joshi,235642.24,20372898.14,57.51
C0359,Jack Dhar,233426.74,20606324.88,58.17
C0030,Ikbal Kothari,225483.48,20831808.36,58.81
C0344,Charvi Loyal,220021.51,21051829.87,59.43
C0371,Ojas Suri,218796.8,21270626.67,60.05
C0447,Parth Swaminathan,218005.7,21488632.37,60.66
C0023,Siddharth Zacharia,214349.05,21702981.42,61.27
C0411,Jacob Balan,210110.19,21913091.61,61.86
C0014,Priya Rastogi,209375.06,22122466.67,62.45
C0499,Hemal Kapadia,206630.68,22329097.35,63.04
C0235,Laksh Wagle,206395.04,22535492.39,63.62
C0456,Sanya Apte,204595.69,22740088.08,64.2
C0284,Reyansh Chowdhury,199763.58,22939851.66,64.76
C0348,Laban Mital,199129.88,23138981.54,65.32
C0192,Chavvi Maharaj,198527.62,23337509.16,65.88
C0001,Aryan Maharaj,197138.98,23534648.14,66.44
C0450,Lucky Choudhry,187051.99,23721700.13,66.97
C0452,Edhitha Ghosh,186477.77,23908177.9,67.49
C0437,Rachita Rana,183686.92,24091864.82,68.01
C0347,Meghana Natarajan,183443.21,24275308.03,68.53
C0212,Chatresh Randhawa,183149.23,24458457.26,69.05
C0425,Girish Tiwari,178496.76,24636954.02,69.55
C0174,Abeer Golla,178480.61,24815434.63,70.05
C0390,Zashil Butala,176730.94,24992165.57,70.55
C0263,Laksh Nath,174527.5,25166693.07,71.05
C0486,Dalbir Krish,174198.08,25340891.15,71.54
C0448,Anmol Vyas,172840.07,25513731.22,72.03
C0278,Charles Chaudhry,172706.87,25686438.09,72.51
C0364,Meghana Balakrishnan,166545.58,25852983.67,72.98
C0077,Lopa Nayar,165612.82,26018596.49,73.45
C0295,Gavin Uppal,165275.43,26183871.92,73.92
C0270,David Devi,163582.85,26347454.77,74.38
C0297,Aachal Aggarwal,161348.82,26508803.59,74.83
C0375,Om Shankar,160975.12,26669778.71,75.29
C0120,Vedhika Dara,150102.72,26819881.43,75.71
C0326,Praneel Chhabra,148485.27,26968366.7,76.13
C0072,Ekaja Zachariah,147156.1,27115522.8,76.55
C0022,Kabir Soman,146959.53,27262482.33,76.96
C0118,Odika Bhagat,143626.22,27406108.55,77.37
C0086,Jai Barman,141502.49,27547611.04,77.77
C0178,Vedika Sathe,139851.19,27687462.23,78.16
C0469,Rachit Sehgal,139067.68,27826529.91,78.55
C0382,Kevin Krish,138031.62,27964561.53,78.94
C0476,Eshana Majumdar,136021.84,28100583.37,79.33
C0358,Hemani Bakshi,134599.84,28235183.21,79.71
C0150,Logan Bath,133821.57,28369004.78,80.09
C0092,Advaith Varughese,132923.39,28501928.17,80.46
C0290,Nidra Thakkar,132876.56,28634804.73,80.84
C0017,Ishwar Yadav,132560.44,28767365.17,81.21
C0367,Dhriti Rama,132043.33,28899408.5,81.58
C0264,Falak Nagar,130859.7,29030268.2,81.95
C0280,Bhavna Nagi,125126.02,29155394.22,82.31
C0256,Wishi Morar,122533.89,29277928.11,82.65
C0475,Aarna Nagarajan,121628.76,29399556.87,83.0
C0414,Vedant Upadhyay,120075.61,29519632.48,83.33
C0015,Champak Choudhary,118379.54,29638012.02,83.67
C0245,Zarna Dua,118203.52,29756215.54,84.0
C0418,Nandini Biswas,117578.97,29873794.51,84.33
C0281,Parth Sahni,113679.13,29987473.64,84.66
C0197,Raksha Sarna,112486.66,30099960.3,84.97
C0409,Jagdish Arora,112026.49,30211986.79,85.29
C0288,Sanya Loke,110857.82,30322844.61,85.6
C0322,Qarin Bhargava,110259.67,30433104.28,85.91
C0442,Lipika Madan,110213.48,30543317.76,86.22
C0111,Anita Tella,107796.33,30651114.09,86.53
C0042,Ekapad Konda,107346.56,30758460.65,86.83
C0084,Nihal Mukhopadhyay,107283.74,30865744.39,87.13
C0223,Parth Shetty,106647.34,30972391.73,87.44
C0439,Manthan Banerjee,106516.72,31078908.45,87.74
C0392,Faras Deo,105030.25,31183938.7,88.03
